Metric,Min_Value,Min_File,Max_Value,Max_File,Average,Std_Dev,min_time_metrics,min_realistic_metrics,min_cost_metrics,min_leg_metrics,min_carbon_metrics
total_carbon_footprint,75975937.75853999,min_carbon_metrics,310983768.34941995,min_time_metrics,238551461.86051807,83032582.55691123,310983768.34941995,276066335.38960046,263731673.23264003,265999594.57239,75975937.75853999
avg_carbon_footprint,3812.7132914407584,min_carbon_metrics,15606.150868139708,min_time_metrics,11971.268222036337,4166.83808686261,15606.150868139708,13853.883444050807,13234.89101383249,13348.70249271792,3812.7132914407584
total_cost,328944.1991635,min_cost_metrics,409359.5330276,min_carbon_metrics,360660.5292007003,31498.631242400676,383691.7842578,351885.3127619015,328944.1991635,329421.81679270003,409359.5330276
avg_cost,16.507462195187433,min_cost_metrics,20.542958449721485,min_carbon_metrics,18.099088131715778,1.5807011212124598,19.25486948651578,17.65871996597087,16.507462195187433,16.53143056118332,20.542958449721485
total_travel_time,1174194.2166666668,min_time_metrics,2439343.25,min_carbon_metrics,1962782.5066666654,440179.2290008441,1174194.2166666668,1825508.6499999943,2191117.4833333334,2183748.9333333336,2439343.25
avg_travel_time,58.92478630334053,min_time_metrics,122.413973503287,min_carbon_metrics,98.49864538900314,22.089588447876956,58.92478630334053,91.6098083002958,109.95721801241196,109.58744082568042,122.413973503287
total_legs,21562.0,min_leg_metrics,78167.0,min_carbon_metrics,33626.4,22285.361173649395,21846.0,23925.0,22632.0,21562.0,78167.0
avg_legs_per_attendee,1.0820494806042054,min_leg_metrics,3.922667737240929,min_carbon_metrics,1.6874792994429668,1.1183500363150194,1.09630150047674,1.2006323079239225,1.1357454709690369,1.0820494806042054,3.922667737240929
direct_mode_WALK_count,217.0,min_time_metrics,6893.0,min_carbon_metrics,4796.8,2464.3991072876165,217.0,4226.0,6384.0,6264.0,6893.0
direct_mode_WALK_proportion,0.0108897475786621,min_time_metrics,0.3459125809203593,min_carbon_metrics,0.24071862297385455,0.12367135581309863,0.0108897475786621,0.2120740703568023,0.3203693481206403,0.3143473678928087,0.3459125809203593
direct_mode_BICYCLE_count,126.0,min_time_metrics,11149.0,min_carbon_metrics,4956.4,3585.7479331375207,126.0,3351.0,5078.0,5078.0,11149.0
direct_mode_BICYCLE_proportion,0.0063230792392231,min_time_metrics,0.5594921463341196,min_carbon_metrics,0.24872785667687056,0.17994419296118436,0.0063230792392231,0.168163797862197,0.2548301299744065,0.2548301299744065,0.5594921463341196
direct_mode_CAR_count,1885.0,min_carbon_metrics,19584.0,min_time_metrics,10173.8,5786.81602956237,19584.0,12350.0,8465.0,8585.0,1885.0
direct_mode_CAR_proportion,0.0945952727455211,min_carbon_metrics,0.9827871731821148,min_time_metrics,0.5105535203492748,0.2904007642676957,0.9827871731821148,0.6197621317810007,0.4248005219049531,0.4308225021327846,0.0945952727455211
transit_mode_TRAM_count,0.0,min_time_metrics,73.0,min_carbon_metrics,16.8,28.20921835145384,0.0,6.0,5.0,0.0,73.0
transit_mode_TRAM_proportion,0.0,min_time_metrics,0.0036633713052642,min_carbon_metrics,0.0008430772318964001,0.001415627959625326,0.0,0.0003010990113915,0.0002509158428263,0.0,0.0036633713052642
transit_mode_SUBWAY_count,11.0,min_leg_metrics,388.0,min_carbon_metrics,98.4,145.75403939513993,12.0,24.0,57.0,11.0,388.0
transit_mode_SUBWAY_proportion,0.0005520148542178,min_leg_metrics,0.0194710694033221,min_carbon_metrics,0.004938023786821859,0.007314399528034331,0.0006021980227831,0.0012043960455663,0.00286044060822,0.0005520148542178,0.0194710694033221
transit_mode_BUS_count,192.0,min_leg_metrics,6892.0,min_carbon_metrics,1654.0,2624.2724706097115,217.0,657.0,312.0,192.0,6892.0
transit_mode_BUS_proportion,0.0096351683645305,min_leg_metrics,0.345862397751794,min_carbon_metrics,0.08300296080694533,0.1316943077537869,0.0108897475786621,0.0329703417473779,0.0156571485923621,0.0096351683645305,0.345862397751794
transit_mode_RAIL_count,192.0,min_leg_metrics,6891.0,min_carbon_metrics,1604.4,2644.4349566589835,217.0,412.0,310.0,192.0,6891.0
transit_mode_RAIL_proportion,0.0096351683645305,min_leg_metrics,0.3458122145832288,min_carbon_metrics,0.08051387564610826,0.1327061251898923,0.0108897475786621,0.0206754654488884,0.0155567822552315,0.0096351683645305,0.3458122145832288
