Category,Metric,Min_Value,Min_File,Max_Value,Max_File,Average,Std_Dev,min_carbon_metrics,min_cost_metrics,min_leg_metrics,min_realistic_metrics,min_time_metrics
departure,total_carbon_footprint,182117.5236,min_carbon_metrics,1291855.1674000002,min_time_metrics,940759.1407779999,388771.28465586243,182117.5236,1060551.98445,1060563.86517,1108707.1632699997,1291855.1674000002
departure,avg_carbon_footprint,1858.3420775510208,min_carbon_metrics,13182.195585714288,min_time_metrics,9599.583069163265,3967.0539250598204,1858.3420775510208,10821.959024999998,10822.080256836736,11313.338400714283,13182.195585714288
departure,total_cost,1471.9913120000003,min_cost_metrics,1929.0817714,min_carbon_metrics,1647.6315410000002,173.58802288655403,1929.0817714,1471.9913120000003,1485.4198244000002,1596.1547089000003,1755.5100883000002
departure,avg_cost,15.020319510204086,min_cost_metrics,19.68450787142857,min_carbon_metrics,16.81256674489796,1.7713063559852444,19.68450787142857,15.020319510204086,15.157345146938775,16.287292947959187,17.913368247959188
departure,total_travel_time,5563.583333333334,min_time_metrics,12033.866666666663,min_carbon_metrics,9757.083333333334,2273.497243773222,12033.866666666663,10942.25,10960.283333333333,9285.43333333334,5563.583333333334
departure,avg_travel_time,56.77125850340137,min_time_metrics,122.79455782312924,min_carbon_metrics,99.56207482993199,23.1989514670737,122.79455782312924,111.65561224489797,111.83962585034013,94.74931972789122,56.77125850340137
departure,total_legs,122.0,min_leg_metrics,402.0,min_carbon_metrics,184.0,109.13477905782372,402.0,126.0,122.0,138.0,132.0
departure,avg_legs_per_attendee,1.2448979591836735,min_leg_metrics,4.1020408163265305,min_carbon_metrics,1.8775510204081631,1.1136201944675888,4.1020408163265305,1.2857142857142858,1.2448979591836735,1.4081632653061225,1.346938775510204
departure,direct_mode_WALK_count,4.0,min_time_metrics,36.0,min_carbon_metrics,27.6,12.419339757008018,36.0,36.0,36.0,26.0,4.0
departure,direct_mode_WALK_proportion,0.0408163265306122,min_time_metrics,0.3673469387755102,min_carbon_metrics,0.28163265306122454,0.12672795670416348,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.2653061224489796,0.0408163265306122
departure,direct_mode_BICYCLE_count,2.0,min_time_metrics,58.0,min_carbon_metrics,25.2,18.432579851990333,58.0,25.0,25.0,16.0,2.0
